,Average Training loss
398,92.21901139831543
399,92.22049052429199
400,92.22138200378419
401,92.19746952819824
402,92.17205888366699
403,92.18506938171387
404,92.18082234191894
405,92.15739250183105
406,92.17156631469726
407,92.1552883605957
408,92.13894404602051
409,92.13299757385253
410,92.14588069152832
411,92.14472903442383
412,92.13425314331054
413,92.10789555358886
414,92.12611022949218
415,92.08575172424317
416,92.10359368896485
417,92.07812373352051
418,92.09348742675782
419,92.07163557434082
420,92.09404962158203
421,92.07111553955077
422,92.08247584533692
423,92.05495422363282
424,92.0653332977295
425,92.062909866333
426,92.0376156463623
427,92.03461642456055
428,92.01582063293458
429,92.03839151000976
430,92.02007809448243
431,92.01646476745606
432,92.02078970336915
433,92.00178059387207
434,92.00861712646484
435,91.98316836547852
436,91.9843642578125
437,91.9757368927002
438,91.99323286437988
439,91.96498211669922
440,91.95800706481934
441,91.96614775085449
442,91.93765483093262
443,91.91846221923828
444,91.9421219329834
445,91.93271067810059
446,91.92637998962402
447,91.9135694885254
448,91.93675059509278
449,91.88657218933105
450,91.91119041442872
451,91.91141696166993
452,91.91809091186524
453,91.89101242065429
454,91.89929861450196
455,91.88806005859375
456,91.85830508422852
457,91.85439961242676
458,91.84596697998047
459,91.86881651306152
460,91.85712397766113
461,91.84271687316894
462,91.81692646789551
463,91.85514476013184
464,91.83838320922851
465,91.82502055358887
466,91.80152754211426
467,91.82365022277833
468,91.79520269775391
469,91.78510498046874
470,91.78109465026856
471,91.79058921813964
472,91.7761708984375
473,91.7737423248291
474,91.77619253540038
475,91.77040242004395
476,91.73720764160156
477,91.75265354919433
478,91.75626214599609
479,91.76233106994628
480,91.73312742614746
481,91.73110954284668
482,91.74891569519043
483,91.72500965881348
484,91.72236088562012
485,91.708025390625
486,91.71316561889648
487,91.73631613159179
488,91.69175604248046
489,91.69100476074219
490,91.71385684204101
491,91.69662020874023
492,91.69607470703124
493,91.63505944824219
494,91.70112509155274
495,91.65675604248047
496,91.64805926513672
497,91.6532614440918
498,91.65684336853028
499,91.64445527648925
500,91.65480946350098
501,91.65364822387696
502,91.65765301513672
503,91.63729731750489
504,91.61750349426269
505,91.60833084106446
506,91.59323188781738
507,91.60310848999023
508,91.58739533996582
509,91.59159893798828
510,91.60595979309082
511,91.56356372070313
512,91.57344911193847
513,91.5822325592041
514,91.54222007751464
515,91.56866844177246
516,91.57200309753418
517,91.55303770446777
518,91.54481367492676
519,91.56270979309082
520,91.526689453125
521,91.52659701538086
522,91.52141990661622
523,91.54921095275878
524,91.54212828063964
525,91.53182859802246
526,91.52934756469726
527,91.5089543762207
528,91.51699447631836
529,91.52071640014648
530,91.51216886901855
531,91.468697265625
532,91.50048942565918
533,91.5039423675537
534,91.48924655151367
535,91.46214060974121
536,91.4759472503662
537,91.46622354125977
538,91.43844174194336
539,91.45299217224121
540,91.45408396911621
541,91.43593295288086
542,91.42761686706542
543,91.42603060913086
544,91.44070393371582
545,91.41989959716797
546,91.42098774719238
547,91.42507037353515
548,91.4040327758789
549,91.43141638183593
550,91.42576998901367
551,91.41327195739746
552,91.41010597229004
553,91.38969895935058
554,91.37128163146973
555,91.39228146362305
556,91.37119895935058
557,91.38125724792481
558,91.38155165100098
559,91.37040119934082
560,91.34702157592774
561,91.36713694763183
562,91.34680278015136
563,91.35862379455567
564,91.34271954345704
565,91.34796510314942
566,91.33408297729493
567,91.34814389038085
568,91.34499601745605
569,91.32543650817871
570,91.31476931762695
571,91.33715058898926
572,91.29609387207032
573,91.31513505554199
574,91.27614706420898
575,91.31390776062011
576,91.31026495361328
577,91.3019243927002
578,91.30389524841308
579,91.27942192077637
580,91.29529847717285
581,91.26226165771484
582,91.25503909301757
583,91.28747393798828
584,91.2548500366211
585,91.27444903564454
586,91.26908178710937
587,91.25176098632812
588,91.24095802307129
589,91.23380001831055
590,91.23930149841308
591,91.22986158752441
592,91.23835708618164
593,91.22818823242187
594,91.23868721008301
595,91.20596578979492
596,91.23314872741699
597,91.20062391662597
598,91.22109495544433
599,91.19665574645997
600,91.21740605163575
601,91.19959623718262
602,91.19602575683594
603,91.19750399780274
604,91.19226266479492
605,91.17940829467773
606,91.18633544921875
607,91.17171363830566
608,91.18481410217285
609,91.16934603881836
610,91.15728384399414
611,91.17962004089355
612,91.16286866760254
613,91.14031973266601
614,91.14697290039062
615,91.13112078857422
616,91.12858276367187
617,91.13009938049316
618,91.13538520812989
619,91.12414297485351
620,91.14149501037598
621,91.12834037780762
622,91.12036851501465
623,91.10948187255859
624,91.11521528625488
625,91.11704014587403
626,91.1032724761963
627,91.11130198669433
628,91.09392515563965
629,91.07810304260254
630,91.0886268157959
631,91.08955941772462
632,91.09262295532227
633,91.07003115844726
634,91.07220040893554
635,91.06156791687012
636,91.06374433898925
637,91.06991369628906
638,91.05735459899903
639,91.05378552246094
640,91.04054022216796
641,91.06679692077637
642,91.04020025634766
643,91.05733023071289
644,91.05743077087402
645,91.05836074829102
646,91.03134358215333
647,91.05016316223144
648,91.01738592529297
649,91.02984544372559
650,91.07612409973144
